"Company","Invoice","Date","Amount"
"600470","FE2 21003424       "," 26/05/21","1250.02"
"600470","FE2 21003931       "," 07/05/21","159.13"
"600470","FE2 21004046       "," 02/07/21","501.27"
"600470","FE2 21004090       "," 21/06/21","280.84"
"602763","FE2 21003389       "," 11/05/21","27919.57"
"603166","FE2 16006448      0"," 12/07/16","15000"
"603166","FE2 16008438      0"," 29/09/16","28000"
"603184","103 10005923      6"," 22/01/21","                "
"603523","FE2 21002118       "," 21/04/21","101"
"603523","FE2 21003102       "," 20/05/21","16445.68"
"603523","FE2 21003423       "," 29/05/21","275.79"
"603523","FE2 21003441       "," 23/06/21","6699.33"
"603523","FE2 21003442       "," 21/05/21","328.32"
"603523","FE2 21003443       "," 20/04/21","190"
"603523","FE2 21003580       "," 11/05/21","190"
"603523","FE2 21003761       "," 02/07/21","12275.45"
"603523","FE2 21003796       "," 12/07/21","2446.99"
"603523","FE2 21003873       "," 19/07/21","11577.99"
"603610","FE2 21003316       "," 01/06/21","54000"
"603869","FE2 21003469       "," 27/05/21","773.12"
"603869","FE2 21003656       "," 01/06/21","390.52"
"603869","FE2 21003657       "," 15/06/21","390.72"
"603869","FE2 21003981       "," 26/05/21","405.62"
"603919","FE2 21003317       "," 29/04/21","356.12"
"604131","FE1 19000015       "," 05/03/19","595"
"604220","FX1 18000062       "," 30/06/18","38.89"
"604220"," 103 10003513    18"," 26/11/18","0"
"604220","NX1 18900012       "," 21/06/18","-38.88"
"604220"," 103 10003513    18"," 26/11/18","0"
"604269","FE2 21003318       "," 11/06/21","3760"
"604408","FE2 21002801       "," 18/05/21","2810"
"604408","FE2 21003362       "," 21/06/21","2810"
"604445","FE2 21003897       "," 05/07/21","676.6"
"604509","FE2 21004088       "," 19/01/21","1538.3"
"604509","FE2 21004089       "," 04/01/21","7245"
"604545","UF0 21000005       "," 13/04/21","1284"
"604545","UF0 21000006       "," 13/04/21","3600"
"A05679","103 10002499     31"," 24/02/18","                "
"A05679","FE2 20000330       "," 07/01/20","250"
"A05679"," 103 10005016     2"," 10/03/20","0"
"A05679"," 103 10005024     1"," 23/03/20","0"
"A05679","FE2 20001411       "," 19/02/19","104"
"A05679","FE2 20001692       "," 29/01/20","222"
"A05679","YE5 20000060       "," 11/12/19","222"
"A05679"," 103 10005016     3"," 10/03/20","0"
"A05679"," 103 10005024     2"," 23/03/20","0"
